Date,Country,Status,AQI Value
7/21/2022,Albania,Good,14
7/21/2022,Algeria,Moderate,65
7/21/2022,Andorra,Moderate,55
7/21/2022,Angola,Unhealthy for Sensitive Groups,113
7/21/2022,Argentina,Moderate,63
7/21/2022,Armenia,Moderate,76
7/21/2022,Australia,Moderate,56
7/21/2022,Austria,Good,45
7/21/2022,Azerbaijan,Good,12
7/21/2022,Bahrain,Unhealthy,165
7/21/2022,Bangladesh,Unhealthy for Sensitive Groups,141
7/21/2022,Belarus,Good,13
7/21/2022,Belgium,Moderate,61
7/21/2022,Belize,Good,28
7/21/2022,Bermuda,Good,12
7/21/2022,Bolivia,Good,9
7/21/2022,Bosnia and Herzegovina,Moderate,58
7/21/2022,Brazil,Moderate,67
7/21/2022,Brunei,Good,15
7/21/2022,Bulgaria,Good,28
7/21/2022,Burkina Faso,Unhealthy for Sensitive Groups,118
7/21/2022,Cambodia,Good,15
7/21/2022,Canada,Moderate,62
7/21/2022,Cape Verde,Good,43
7/21/2022,Cayman Islands,Good,6
7/21/2022,Central African Republic,Unhealthy,156
7/21/2022,Chad,Moderate,59
7/21/2022,Chile,Unhealthy,178
7/21/2022,China,Unhealthy,160
7/21/2022,Colombia,Moderate,63
7/21/2022,Costa Rica,Good,25
7/21/2022,Croatia,Good,33
7/21/2022,Cyprus,Good,50
7/21/2022,Czech Republic,Moderate,77
7/21/2022,Denmark,Good,36
7/21/2022,Dominican Republic,Good,26
7/21/2022,Ecuador,Moderate,54
7/21/2022,Egypt,Moderate,86
7/21/2022,El Salvador,Moderate,80
7/21/2022,Estonia,Good,15
7/21/2022,Ethiopia,Unhealthy,165
7/21/2022,Finland,Good,25
7/21/2022,France,Moderate,72
7/21/2022,French Guiana,Good,13
7/21/2022,Gabon,Unhealthy for Sensitive Groups,118
7/21/2022,Gambia,Good,9
7/21/2022,Georgia,Good,41
7/21/2022,Germany,Moderate,77
7/21/2022,Ghana,Unhealthy for Sensitive Groups,117
7/21/2022,Gibraltar,Good,34
7/21/2022,Greece,Good,38
7/21/2022,Grenada,Good,3
7/21/2022,Guadeloupe,Good,7
7/21/2022,Guam,Good,1
7/21/2022,Guatemala,Good,47
7/21/2022,Honduras,Good,47
7/21/2022,Hong Kong,Good,30
7/21/2022,Hungary,Moderate,57
7/21/2022,Iceland,Good,8
7/21/2022,India,Unhealthy,162
7/21/2022,Indonesia,Moderate,93
7/21/2022,Iran,Very Unhealthy,250
7/21/2022,Iraq,Very Unhealthy,234
7/21/2022,Ireland,Good,14
7/21/2022,Israel,Unhealthy for Sensitive Groups,102
7/21/2022,Italy,Unhealthy for Sensitive Groups,111
7/21/2022,Ivory Coast,Good,38
7/21/2022,Japan,Unhealthy for Sensitive Groups,110
7/21/2022,Jersey,Good,29
7/21/2022,Jordan,Good,27
7/21/2022,Kazakhstan,Moderate,62
7/21/2022,Kenya,Good,40
7/21/2022,Kosovo,Good,38
7/21/2022,Kuwait,Unhealthy for Sensitive Groups,132
7/21/2022,Kyrgyzstan,Good,42
7/21/2022,Laos,Good,20
7/21/2022,Latvia,Good,23
7/21/2022,Lebanon,Moderate,76
7/21/2022,Liberia,Moderate,71
7/21/2022,Liechtenstein,Good,20
7/21/2022,Lithuania,Good,32
7/21/2022,Luxembourg,Good,42
7/21/2022,Macao,Good,30
7/21/2022,Macedonia,Good,46
7/21/2022,Madagascar,Good,42
7/21/2022,Malaysia,Moderate,70
7/21/2022,Malta,Moderate,57
7/21/2022,Martinique,Good,25
7/21/2022,Mexico,Moderate,92
7/21/2022,Moldova,Good,16
7/21/2022,Monaco,Good,46
7/21/2022,Mongolia,Moderate,55
7/21/2022,Montenegro,Good,42
7/21/2022,Myanmar,Good,46
7/21/2022,Nepal,Moderate,81
7/21/2022,Netherlands,Moderate,70
7/21/2022,New Caledonia,Good,15
7/21/2022,New Zealand,Good,18
7/21/2022,Nigeria,Unhealthy for Sensitive Groups,105
7/21/2022,Norway,Moderate,73
7/21/2022,Pakistan,Moderate,91
7/21/2022,Palestinian Territory,Moderate,64
7/21/2022,Peru,Moderate,85
7/21/2022,Philippines,Moderate,83
7/21/2022,Poland,Moderate,74
7/21/2022,Portugal,Good,26
7/21/2022,Puerto Rico,Good,8
7/21/2022,Qatar,Unhealthy,183
7/21/2022,Reunion,Good,14
7/21/2022,Romania,Moderate,67
7/21/2022,Russia,Moderate,80
7/21/2022,San Marino,Good,50
7/21/2022,Saudi Arabia,Very Unhealthy,272
7/21/2022,Senegal,Good,33
7/21/2022,Serbia,Moderate,60
7/21/2022,Singapore,Good,29
7/21/2022,Slovakia,Moderate,63
7/21/2022,Slovenia,Good,49
7/21/2022,South Africa,Moderate,83
7/21/2022,South Korea,Moderate,80
7/21/2022,Spain,Moderate,82
7/21/2022,Sri Lanka,Good,42
7/21/2022,Sudan,Unhealthy for Sensitive Groups,114
7/21/2022,Sweden,Good,38
7/21/2022,Switzerland,Good,31
7/21/2022,Taiwan,Moderate,59
7/21/2022,Tajikistan,Moderate,81
7/21/2022,Thailand,Moderate,95
7/21/2022,Togo,Unhealthy,152
7/21/2022,Trinidad and Tobago,Good,20
7/21/2022,Turkey,Moderate,86
7/21/2022,Turkmenistan,Moderate,85
7/21/2022,Uganda,Unhealthy,198
7/21/2022,Ukraine,Good,37
7/21/2022,United Arab Emirates,Moderate,92
7/21/2022,United Kingdom of Great Britain and Northern Ireland,Moderate,55
7/21/2022,United States of America,Unhealthy for Sensitive Groups,116
7/21/2022,Uzbekistan,Moderate,60
7/21/2022,Vatican,Moderate,70
7/21/2022,Venezuela,Good,3
7/21/2022,Vietnam,Good,43
7/21/2022,Zambia,Good,39
7/21/2022,Albania,Good,17
7/21/2022,Algeria,Moderate,65
7/21/2022,Andorra,Moderate,51
7/21/2022,Angola,Unhealthy,152
7/21/2022,Argentina,Moderate,61
7/21/2022,Armenia,Moderate,78
7/21/2022,Australia,Moderate,54
7/21/2022,Austria,Good,48
7/21/2022,Azerbaijan,Good,18
7/21/2022,Bahrain,Unhealthy,161
7/21/2022,Bangladesh,Unhealthy for Sensitive Groups,141
